userId,movieId,rating,timestamp
965,1233,4,975118403
2507,3035,2,974076680
4087,2840,4,965431652
19,457,3,978146863
4118,2804,4,965804599
2907,805,4,971838472
3992,2616,3,965598836
1941,2445,3,1030917230
23,3358,3,978465537
1202,2346,3,974844947
2892,1939,4,972007832
1472,548,3,974768208
3490,574,3,967047503
1542,431,3,974743465
855,663,3,976340491
3367,3289,4,970873357
973,367,2,975861843
5738,3020,4,958417171
1284,1542,2,974839649
4906,2819,4,963476495
5000,1372,4,962591130
4729,1293,5,964217607
4088,762,2,965432533
3949,1304,5,965681579
3968,6,5,965663268
3380,1784,3,967674771
2487,527,4,974143547
2361,2378,2,974379884
1094,527,5,974928343
5499,647,3,959797656
1340,527,5,974783646
484,3176,4,976217120
2565,1270,5,973965737
787,2700,5,975430395
3999,1609,2,965580010
3082,1093,2,969814522
2629,1095,2,973624560
453,3617,2,1008954762
213,2431,5,976900426
866,3623,4,975277151
4092,2133,2,965420645
2060,3107,4,974681598
3939,3811,4,965697328
2794,296,4,972920745
3119,2015,4,969392778
4092,1378,2,965420613
3705,2437,3,966288416
2544,1201,4,978822713
1837,504,4,976025776
295,2194,5,976527176
4637,1089,3,964031291
5271,2405,2,961141284
3277,3263,2,968208140
4647,318,2,963964496
1051,372,3,974960072
5621,25,4,959120036
4274,2058,3,965301572
4213,628,5,965842917
5755,2947,3,958266047
5184,3556,5,961734517
5559,1747,4,959377000
770,3704,2,976183841
1288,2745,4,974794452
2611,111,2,973795591
2620,2410,3,973656689
1209,541,2,974844849
4482,1,5,965018387
893,2231,2,975228469
3716,833,4,966266550
1603,3882,5,974731061
1820,2640,4,974697984
5099,2514,3,962368231
4517,2683,5,964863929
1962,1271,4,975777323
4468,2858,5,965067900
441,2571,5,976241968
5502,3697,3,959798570
5437,3479,3,960000264
1274,733,4,974812743
2529,961,3,974059576
2179,1396,4,974608877
1300,3286,1,974786516
777,1387,3,975955654
5472,1219,1,959890239
1404,3501,3,974766047
3618,1499,3,966598975
3041,2707,4,970536474
2221,426,1,974600047
699,1210,2,986439984
1365,2011,2,974769631
5184,3780,1,961734441
149,157,4,996938996
1465,1485,3,974759653
839,2262,3,980813253
5172,1537,4,977084709
4957,1603,3,962908693
3526,2088,4,966906606
175,1673,5,977111659
2284,1282,4,974527859
5679,2527,5,958618914
3970,3712,5,965661096
3261,1834,3,968252416
1209,3359,5,974844118
1883,2067,2,974876060
4079,2949,5,965442230
807,13,4,975394045
3475,497,5,974773972
4647,176,5,963964655
4952,1265,3,962638892
358,162,3,976317782
3243,1214,5,968339787
139,180,3,977361288
5961,3247,2,957025609
4659,2243,4,963975484
836,3798,5,975360283
3313,1127,3,967953177
2481,903,4,974220418
595,454,5,975898200
4904,1230,5,962684636
1426,353,1,974859886
1922,527,4,975163726
2880,2108,3,989098655
2719,1371,3,973286052
5050,527,4,962491626
1455,28,5,974757597
5643,344,1,959650143
4682,1759,4,976404976
1590,1961,5,976225635
593,3556,2,1002856201
3162,480,3,968858972
5530,1268,4,959996537
1851,1376,3,991449073
2967,2761,4,971128720
5181,2336,5,961787909
4525,1299,4,964808385
5127,541,4,962134398
123,2728,5,977527364
4578,627,4,967047937
5614,1482,4,959191481
1712,2391,4,980388544
150,1957,4,978163424
549,2231,5,976068992
1842,750,5,974697525
639,3366,4,975727988
5389,2428,3,960328460
4362,479,3,965187271
3853,1037,3,965875622
937,2794,4,1021077533
225,3504,5,976832976
5706,1302,5,958530493
4873,3742,5,962789021
5263,3707,4,961187561
3462,2405,4,967402811
4908,2021,3,962684915
3516,1246,4,966966546
3979,1907,5,965628069
3433,2072,4,967416145
4472,2987,3,965065301
3087,1358,5,970016818
2863,1176,3,972501710
3247,2406,4,968303882
5344,3257,4,960680217
5176,3745,4,961860898
4277,3117,5,968564239
2063,2642,3,975743152
3416,1297,5,967411444
1420,3686,3,975347244
5643,227,2,959651180
3389,10,3,967515633
2664,608,4,973459685
1182,1377,2,997154933
100,1208,2,977594963
5831,2889,4,960873449
4830,2354,2,962906283
453,2004,3,976245916
4404,2959,5,965156673
515,1197,4,976203276
963,2558,2,975207324
3044,3263,3,970213710
5100,1947,5,962408349
5378,2720,2,960402296
3894,1104,3,965789182
1043,1227,4,977556672
4089,852,3,965456083
2787,2076,4,972966845
2988,2975,3,974941629
2060,305,1,974684642
1439,2203,4,974757709
411,1081,4,978452717
1147,2967,3,974872527
3654,2924,4,966455852
2620,1552,4,973656367
4736,368,3,963631622
678,2985,4,988637708
1376,3745,3,974768227
1162,1235,4,974864314
2017,21,5,974673839
702,1408,5,975563194
5880,2582,3,957550661
